# magnetic dipole moment for isotopes
# The data for the isotopes is taken from:
# D. Mende und G. Simon, Physik - Gleichungen und Tabellen, 13. Auflage, 2001 Fachbuchverlag Leipzig
# M.D. Lechner, Taschenbuch fr Chemiker und Physiker - Band I Physikalisch-Chemische Daten, 1992
# John Emsley, Die Elemente, 1993 
# Description: Columns represent element symbol, isotope number, and magnetic moment in units of the nuclear magneton
# TODO: Does not (yet) include indications of errors as reported
H	 1	 +2.792846
H	 2	 +0.857438
H	 3	 +2.978960
He	 3	 -2.127624
He	 4	 0
Li	 6	 +0.822056
Li	 7	 +3.25644
Be	 9	 -1.1776
B	 10	 +1.80065
B	 11	 +2.688637
C	 12	 0
C	 13	 +0.702411
C	 14	 0
N	 14	 +0.403761
N	 15	 -0.283189
O	 16	 0
O	 17	 -1.89379
O	 18	 0
F	 19	 +2.628866
Ne	 20	 0
Ne	 21	 -0.661796
Ne	 22	 0
Na	 22	 +1.746
Na	 23	 -2.217520
Na	 24	 +1.6903
Mg	 24	 0
Mg	 25	 -0.85545
Mg	 26	 0
Al	 27	 +3.641504
Si	 28	 0
Si	 29	 -0.55529
Si	 30	 0
P	 31	 +1.13160
P	 32	 -0.2524
S	 32	 0
S	 33	 +0.643821
S	 34	 0
S	 35	 +1
S	 36	 0
Cl	 35	 +0.82187
Cl	 37	 +0.68412
Ar	 36	 0
Ar	 38	 0
Ar	 40	 0
K	 39	 +0.391466
K	 40	 -1.298099
K	 41	 +0.2148699
Ca	 40	 0
Ca	 42	 0
Ca	 43	 +1.31725
Ca	 44	 0
Ca	 48	 0
Sc	 45	 +4.756483
Ti	 46	 0
Ti	 47	 -0.78848
Ti	 48	 0
Ti	 49	 -1.10417
Ti	 50	 0
V	 50	 +3.34745
V	 51	 +5.1574
Cr	 50	 0
Cr	 52	 0
Cr	 53	 -0.47454
Cr	 54	 0
Mn	 54	 +3.2818
Mn	 55	 +3.4687
Fe	 54	 0
Fe	 56	 0
Fe	 57	 +0.09044
Fe	 58	 0
Co	 59	 +4.627
Co	 60	 +3.799
Ni	 58	 0
Ni	 60	 0
Ni	 61	 -0.75002
Ni	 62	 0
Ni	 64	 0
Cu	 63	 +2.2233
Cu	 64	 -0.217
Cu	 65	 +2.3817
Zn	 64	 0
Zn	 65	 +0.7690
Zn	 66	 0
Zn	 67	 +0.87515
Zn	 68	 0
Zn	 70	 0
Ga	 69	 +2.01659
Ga	 71	 2.56227
Ge	 70	 0
Ge	 72	 0
Ge	 73	 -0.879467
Ge	 74	 0
Ge	 76	 0
As	 75	 +1.43947
As	 76	 -0.906
Se	 74	 0
Se	 76	 0
Se	 77	 +0.535506
Se	 78	 0
Se	 80	 0
Se	 82	 0
Br	 79	 +2.1064
Br	 81	 +2.2706
Kr	 78	 0
Kr	 80	 0
Kr	 82	 0
Kr	 83	 -0.970669
Kr	 84	 0
Kr	 86	 0
Rb	 85	 +1.3530
Rb	 86	 -1.6920
Rb	 87	 +2.75124
Sr	 84	 0
Sr	 87	 -1.093
Y	 89	 -0.1374153
Y	 90	 -1.630
Zr	 90	 0
Zr	 91	 -1.30362
Zr	 92	 0
Zr	 94	 0
Zr	 96	 0
ZNb	 93	 +6.1705
Nb	 95	 +6.123
Mo	 92	 0
Mo	 94	 0
Mo	 95	 -0.9133
Mo	 96	 0
Mo	 97	 -0.9133
Mo	 98	 0
Mo	 100	 0
Tc	 99	 +5.6847
Ru	 96	 0
Ru	 97	 +0.687
Ru	 98	 0
Ru	 99	 +0.6413
Ru	 100	 0
Ru	 101	 -0.7188
Ru	 102	 0
Ru	 103	 +0.67
Ru	 104	 0
Rh	 103	 -0.08840
Pd	 102	 0
Pd	 104	 0
Pd	 105	 -0.642
Pd	 106	 0
Pd	 108	 0
Pd	 110	 0
Ag	 107	 -0.113570
Ag	 109	 -0.1306905
Cd	 106	 0
Cd	 108	 0
Cd	 109	 -0.8270
Cd	 110	 0
Cd	 111	 -0.5943
Cd	 112	 0
Cd	 113	 -0.6217
Cd	 114	 0
Cd	 115	 -0.648
Cd	 116	 0
In	 113	 +5.5229
